NAME,STATEFP,avg_drought_severity,percent_drought_area,lisa_map
Preston,54,0.002075946902114872,65.36774815642478,0
Waupaca,55,0.0,0.0,3
Edwards,48,0.0,12.374326353232039,3
Lake,41,0.9313449756275576,100.00000000000033,0
Ozark,29,1.0026687279975257,99.99999999999997,0
Dickinson,19,0.0,99.99999999999993,3
Harlan,21,1.9222876301469183,100.00000000000007,0
Geary,20,0.0,0.0,3
Berks,42,1.694304286656131,100.00000000000017,0
Carter,47,2.079347798882804,100.00000000000024,1
Lyon,27,0.3908793998583418,99.99999999999994,0
Charlotte,51,2.547879939793073,100.00000000000013,1
Washington,47,1.5307870806435406,99.99999999999973,0
Newberry,45,2.0000000000000053,100.00000000000027,1
Isle of Wight,51,1.7626564336789832,88.13282168394916,0
Wheeler,41,2.121988162784859,99.99999999999959,0
Butler,29,2.808815424270078,100.00000000000007,1
Iberville,22,0.0,0.0,3
Sharkey,28,2.8603375331605556,100.00000000000011,1
Lunenburg,51,2.499924927324849,100.00000000000009,1
Traill,38,0.0,0.0,3
Hall,13,2.9999999999999947,99.99999999999983,1
Treutlen,13,3.0000000000000044,100.00000000000016,1
Calhoun,13,1.9999999999999931,99.99999999999966,1
Vilas,55,0.0,0.0,3
Beltrami,27,0.1543329813920582,96.93699367498643,3
Chattooga,13,1.6262825279629565,100.00000000000011,0
Dillon,45,2.000000000000001,100.00000000000004,1
Jones,37,1.9999552840917567,99.99776420458784,0
Scotland,29,0.0,0.0,3
Nemaha,20,0.0,0.0,3
Norton,20,1.7170439915833582,99.99999999999987,1
Marinette,55,0.0,0.0,3
Clark,53,0.0,84.41285932726937,3
Price,55,0.0,0.0,3
Major,40,2.5618345933981534,99.99999999999984,1
Montgomery,47,2.0819458818271905,100.00000000000028,1
Pend Oreille,53,0.947420062024585,99.99999999999997,0
McLean,38,0.0,0.1299297158195809,3
Hood River,41,0.0,100.0,3
Wright,19,0.0,68.64150843989432,3
Shelby,48,1.7328812905982227,100.00000000000004,0
Crawford,29,0.0,0.0,3
Bath,51,2.2323060013524842,99.99999999999972,1
Sheridan,56,1.7759992389257575,99.99999999999993,0
Cumberland,42,1.1881955360855239,99.9999999999998,0
Franklin,42,1.6714712655837105,99.99999999999977,0
Luzerne,42,0.0,15.929254790031836,3
Crawford,26,0.0,0.0,3
Russell,01,2.0000000000000004,100.00000000000003,1
Carroll,39,0.0,0.0,3
Greene,05,3.9916393654434965,100.00000000000009,1
Hall,48,1.9999999999999976,99.99999999999987,1
Burnett,55,0.0,100.00000000000011,3
Torrance,35,1.9999999999999911,99.99999999999956,1
Pacific,53,0.0,0.0,3
Pender,37,2.0100040113179123,92.52618785960013,1
Hood,48,0.0,48.02651933770352,3
Washington,31,0.037969949567802204,82.79976068743345,3
Clark,29,0.0,0.0,3
Boone,21,0.0,0.0,3
Washington,21,1.2787777281665254,100.00000000000007,0
Avoyelles,22,0.9999999999999972,99.99999999999972,0
Tate,28,0.8183971339657798,100.00000000000028,0
Worth,29,0.0,0.0,3
Sherman,31,2.1695196245617634,99.99999999999974,1
Campbell,46,0.0,87.325084162276,3
Harding,46,0.3166291899100836,77.19622803895277,0
Gratiot,26,0.0,0.0,3
Union,19,0.0,0.0,3
Massac,17,1.0014009266355115,100.00000000000007,0
Faribault,27,0.0,99.8095946262069,3
Grainger,47,0.9999999999999982,99.99999999999983,0
Freestone,48,1.0476259355021873,99.99999999999993,0
